iter	Passed	Remaining
939	2493	159
940	2496	156
941	2498	153
942	2500	151
943	2504	148
944	2506	145
945	2510	143
946	2512	140
947	2515	137
948	2517	135
949	2519	132
950	2521	129
951	2523	127
952	2544	125
953	2547	122
954	2550	120
955	2552	117
956	2556	114
957	2558	112
958	2562	109
959	2565	106
960	2568	104
961	2572	101
962	2575	98
963	2577	96
964	2580	93
965	2583	90
966	2585	88
967	2587	85
968	2589	82
969	2591	80
970	2594	77
971	2596	74
972	2599	72
973	2601	69
974	2604	66
975	2606	64
976	2609	61
977	2611	58
978	2613	56
979	2615	53
980	2618	50
981	2620	48
982	2621	45
983	2623	42
984	2625	39
985	2627	37
986	2629	34
987	2632	31
988	2633	29
989	2636	26
990	2637	23
991	2639	21
992	2641	18
993	2643	15
994	2644	13
995	2646	10
996	2648	7
997	2650	5
998	2653	2
999	2656	0
